t;v
4.280;11.33
4.285;11.35
4.290;11.35
4.295;11.35
4.300;11.32
4.305;11.33
4.310;11.32
4.315;11.33
4.320;11.35
4.325;11.38
4.330;11.35
4.335;11.35
4.340;11.36
4.345;11.35
4.350;11.38
4.355;11.36
4.360;11.36
4.365;11.35
4.370;11.35
4.375;11.35
4.380;11.35
4.385;11.35
4.390;11.35
4.395;11.35
4.400;11.33
4.405;11.35
4.410;11.35
4.415;11.33
4.420;11.32
4.425;11.30
4.430;11.32
4.435;11.35
4.440;11.35
4.445;11.35
4.450;11.35
4.455;11.33
4.460;11.35
4.465;11.33
4.470;11.36
4.475;11.35
4.480;11.33
4.485;11.35
4.490;11.32
4.495;11.33
4.500;11.32
4.505;11.33
4.510;11.33
4.515;11.33
4.520;11.32
4.525;11.33
4.530;11.33
4.535;11.35
4.540;11.32
4.545;11.33
4.550;11.33
4.555;11.32
4.560;11.32
4.565;11.32
4.570;11.32
4.575;11.32
4.580;11.33
4.585;11.33
4.590;10.26
4.595;4.83
4.600;2.04
4.605;0.88
4.610;0.39
4.615;0.19
4.620;0.06
4.625;0.03
4.630;0.00
4.635;-0.02
4.640;-0.03
4.645;-0.03
4.650;-0.03
4.655;-0.03
4.660;-0.03
4.665;-0.05
4.670;-0.02
4.675;-0.05
4.680;-0.06
4.685;-0.05
4.690;-0.05
4.695;-0.06
4.700;-0.06
4.705;-0.03
4.710;-0.06
4.715;-0.08
4.720;-0.06
4.725;-0.05
4.730;-0.05
4.735;-0.06
4.740;-0.06
4.745;-0.06
4.750;-0.06
4.755;-0.05
4.760;-0.05
4.765;-0.05
4.770;-0.05
4.775;-0.05
4.780;-0.03
4.785;-0.05
4.790;-0.03
4.795;-0.05
4.800;-0.05
4.805;-0.05
4.810;-0.05
4.815;-0.05
4.820;-0.05
4.825;-0.05
4.830;-0.05
4.835;-0.05
4.840;-0.06
4.845;-0.05
4.850;-0.05
4.855;-0.06
4.860;-0.06
4.865;-0.05
4.870;-0.06
4.875;-0.05
4.880;-0.06
4.885;-0.06
4.890;-0.05
4.895;-0.03
4.900;-0.05
4.905;-0.03
4.910;-0.03
4.915;-0.05
4.920;-0.05
4.925;-0.05
4.930;-0.03
4.935;-0.03
4.940;-0.05
4.945;-0.05
4.950;-0.05
4.955;-0.03
4.960;-0.03
4.965;-0.05
4.970;-0.05
4.975;-0.05
4.980;-0.06
4.985;-0.05
4.990;-0.05
4.995;-0.03
5.000;-0.06
5.005;-0.05
5.010;-0.06
5.015;-0.06
5.020;-0.05
5.025;-0.05
5.030;-0.05
5.035;-0.05
5.040;-0.03
5.045;-0.05
5.050;-0.05
5.055;-0.05
5.060;-0.05
5.065;-0.05
5.070;-0.06
5.075;-0.05
5.080;-0.05
5.085;-0.05
5.090;-0.06
5.095;-0.05
5.100;-0.06
5.105;-0.05
5.110;-0.05
5.115;-0.06
5.120;-0.06
5.125;-0.06
5.130;-0.06
5.135;-0.05
5.140;-0.05
5.145;-0.06
5.150;-0.06
5.155;-0.05
5.160;-0.05
5.165;-0.05
5.170;-0.06
5.175;-0.06
5.180;-0.05
5.185;-0.05
5.190;-0.05
5.195;-0.05
5.200;-0.05
5.205;-0.05
5.210;-0.05
5.215;-0.08
5.220;-0.08
5.225;-0.08
5.230;-0.06
5.235;-0.05
5.240;-0.03
5.245;-0.03
5.250;-0.05
5.255;-0.05
5.260;-0.05
5.265;-0.05
5.270;-0.05
5.275;-0.06
5.280;-0.06
5.285;-0.08
5.290;-0.05
5.295;-0.05
5.300;-0.05
5.305;-0.08
5.310;-0.05
5.315;-0.03
5.320;-0.05
5.325;-0.05
5.330;-0.06
5.335;-0.06
5.340;-0.06
5.345;-0.08
5.350;-0.03
5.355;-0.06
5.360;-0.05
5.365;-0.05
5.370;-0.05
5.375;-0.06
5.380;-0.06
5.385;-0.06
5.390;-0.06
5.395;-0.06
5.400;-0.08
5.405;-0.08
5.410;-0.06
5.415;-0.06
5.420;-0.06
5.425;-0.08
5.430;-0.06
5.435;-0.08
5.440;-0.08
5.445;-0.08
5.450;-0.06
5.455;-0.08
5.460;-0.06
5.465;-0.06
5.470;-0.06
5.475;-0.05
5.480;-0.06
5.485;-0.06
5.490;-0.06
5.495;-0.05
5.500;-0.05
5.505;-0.05
5.510;-0.06
5.515;-0.05
5.520;-0.05
5.525;-0.08
5.530;-0.05
5.535;-0.05
5.540;-0.06
5.545;-0.05
5.550;-0.06
5.555;-0.05
5.560;-0.06
5.565;-0.06
5.570;-0.06
5.575;-0.06
5.580;-0.06
5.585;-0.06
5.590;-0.05
5.595;-0.05
5.600;-0.06
5.605;-0.03
5.610;-0.05
5.615;-0.06
5.620;-0.06
5.625;-0.06
5.630;-0.06
5.635;-0.06
5.640;-0.06
5.645;-0.05
5.650;-0.06
5.655;-0.08
5.660;-0.06
5.665;-0.05
5.670;-0.03
5.675;-0.05
5.680;-0.05
5.685;-0.05
5.690;-0.06
5.695;-0.05
5.700;-0.05
5.705;-0.06
5.710;-0.06
5.715;-0.05
5.720;-0.05
5.725;-0.06
5.730;-0.05
5.735;-0.06
5.740;-0.06
5.745;-0.06
5.750;-0.05
5.755;-0.05
5.760;-0.05
5.765;-0.05
5.770;-0.05
5.775;-0.06
5.780;-0.05
5.785;-0.05
5.790;-0.06
5.795;-0.06
5.800;-0.06
5.805;-0.06
5.810;-0.06
5.815;-0.06
5.820;-0.06
5.825;-0.06
5.830;-0.05
5.835;-0.06
5.840;-0.06
5.845;-0.06
5.850;-0.08
5.855;-0.06
5.860;-0.06
5.865;-0.06
5.870;-0.06
5.875;-0.05
5.880;-0.05
5.885;-0.05
5.890;-0.06
5.895;-0.05
5.900;-0.06
5.905;-0.05
5.910;-0.05
5.915;-0.08
5.920;-0.08
5.925;-0.10
5.930;-0.06
5.935;-0.08
5.940;-0.06
5.945;-0.06
5.950;-0.06
5.955;-0.05
5.960;-0.06
5.965;-0.06
5.970;-0.06
5.975;-0.05
5.980;-0.06
5.985;-0.05
5.990;-0.05
5.995;-0.05
6.000;-0.03
6.005;-0.03
6.010;-0.06
6.015;-0.06
6.020;-0.06
6.025;-0.05
6.030;-0.06
6.035;-0.06
6.040;-0.06
6.045;-0.06
6.050;-0.06
6.055;-0.06
6.060;-0.06
6.065;-0.06
6.070;-0.05
6.075;-0.06
6.080;-0.06
6.085;-0.05
6.090;-0.05
6.095;-0.05
6.100;-0.06
6.105;-0.05
6.110;-0.05
6.115;-0.05
6.120;-0.06
6.125;-0.06
6.130;-0.05
6.135;-0.06
6.140;-0.03
6.145;-0.05
